"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04142","hsa04142","Lysosome","27/331","128/8095",1.011379141323e-12,2.92288571842347e-10,2.2250341109106e-10,"CTSB/LGMN/PSAP/CTSL/NPC2/CD63/CTSZ/CTSD/ACP2/LAMP1/GM2A/ATP6V0D2/NPC1/GNS/CD68/CTSA/CTSH/LIPA/CTSK/GNPTAB/AP1B1/LITAF/AP1S2/ATP6V0A1/GLA/IGF2R/TPP1",27
"hsa04380","hsa04380","Osteoclast differentiation","21/331","128/8095",4.21749547516965e-08,6.09428096162015e-06,4.63924502268662e-06,"SQSTM1/LILRB4/IL1R1/RELB/NFKBIA/FOSL2/NFKB2/IFNAR1/CTSK/LILRB1/JAK1/SOCS3/FOSB/LCP2/IFNGR2/MITF/STAT1/PIK3R1/NFKB1/LILRB2/IL1B",21
"hsa05145","hsa05145","Toxoplasmosis","19/331","112/8095",1.08966345599516e-07,1.04970912927534e-05,7.99086534396451e-06,"IL10/ITGA6/NFKBIA/JAK1/IRAK1/BCL2L1/PPIF/HSPA1A/HLA-DQA1/HLA-DOA/IFNGR2/STAT1/CCR5/NFKB1/MAP2K3/TLR2/STAT3/HSPA6/HSPA1B",19
"hsa05323","hsa05323","Rheumatoid arthritis","17/331","93/8095",1.68308335546773e-07,1.16281456244801e-05,8.85187556188799e-06,"CTSL/CCL3/ATP6V0D2/VEGFA/ICAM1/CCL2/CTSK/ATP6V1C1/ATP6V1B2/ITGB2/ATP6V1A/HLA-DQA1/HLA-DOA/ATP6V0A1/TLR2/ATP6V1G1/IL1B",17
"hsa04145","hsa04145","Phagosome","22/331","152/8095",2.01178990042909e-07,1.16281456244801e-05,8.85187556188799e-06,"CTSL/CD36/LAMP1/ATP6V0D2/C3/HLA-A/CD14/CALR/SCARB1/ATP6V1C1/ATP6V1B2/TUBA1C/ITGB2/ITGB5/SEC61G/ITGAV/ATP6V1A/HLA-DQA1/HLA-DOA/ATP6V0A1/TLR2/ATP6V1G1",22
"hsa05134","hsa05134","Legionellosis","13/331","57/8095",3.39277586101698e-07,1.58121178806794e-05,1.20369063451538e-05,"BNIP3/C3/CD14/CR1/NFKBIA/NFKB2/ITGB2/HSPA1A/NFKB1/TLR2/IL1B/HSPA6/HSPA1B",13
"hsa05140","hsa05140","Leishmaniasis","15/331","77/8095",3.82992474618531e-07,1.58121178806794e-05,1.20369063451538e-05,"IL10/C3/CR1/NFKBIA/JAK1/IRAK1/ITGB2/MARCKSL1/HLA-DQA1/HLA-DOA/IFNGR2/STAT1/NFKB1/TLR2/IL1B",15
"hsa04979","hsa04979","Cholesterol metabolism","12/331","50/8095",5.35168543543849e-07,1.91401246563259e-05,1.45703371086218e-05,"ABCA1/PLTP/APOE/NPC2/CD36/APOC1/NPC1/SOAT1/SCARB1/CYP27A1/MYLIP/LIPA",12
"hsa05417","hsa05417","Lipid and atherosclerosis","26/331","215/8095",5.96059245352709e-07,1.91401246563259e-05,1.45703371086218e-05,"ABCA1/SOD2/MMP9/CD36/CCL3/CALM3/ICAM1/CCL2/CD14/NFKBIA/ERO1A/NFE2L2/IRAK1/HSPA5/BCL2L1/POU2F2/HSPA1A/ITPR1/PIK3R1/NFKB1/MAP2K3/TLR2/STAT3/IL1B/HSPA6/HSPA1B",26
"hsa04064","hsa04064","NF-kappa B signaling pathway","17/331","104/8095",8.89035513890751e-07,2.56931263514427e-05,1.95587813055965e-05,"GADD45B/ICAM1/CD14/IL1R1/RELB/NFKBIA/NFKB2/CFLAR/IRAK1/CCL4L2/CCL4/BCL2L1/NFKB1/PLAU/MALT1/IL1B/BCL2A1",17
